transaction_id,recovered,transaction_amount,recovery_probability,priority_score,priority
txn_001667,0,12125.26,0.85,0.6914,MEDIUM
txn_002134,0,42447.26,0.85,0.7723,HIGH
txn_002144,1,6391.68,0.8496,0.7858,HIGH
txn_001758,1,15265.6,0.8496,0.6201,MEDIUM
txn_002869,1,27781.69,0.8495,0.756,HIGH
txn_002346,1,36662.73,0.8494,0.7284,MEDIUM
txn_001001,0,3036.25,0.8491,0.7181,MEDIUM
txn_000471,1,11719.45,0.8488,0.7329,MEDIUM
txn_000885,1,25107.37,0.8484,0.7568,HIGH
txn_000521,1,3413.89,0.8483,0.704,MEDIUM
txn_002905,1,24685.8,0.8477,0.7592,HIGH
txn_000924,1,584.97,0.8477,0.6051,MEDIUM
txn_000388,1,16521.81,0.8476,0.6607,MEDIUM
txn_001303,0,18893.68,0.8474,0.737,MEDIUM
txn_001400,1,48798.85,0.8474,0.8557,HIGH
txn_000097,1,12931.12,0.8474,0.7166,MEDIUM
txn_002980,1,14856.4,0.8473,0.6854,MEDIUM
txn_000191,1,12694.47,0.8473,0.6533,MEDIUM
txn_002500,1,36073.58,0.8473,0.7895,HIGH
txn_001091,1,18274.54,0.847,0.6769,MEDIUM
txn_001722,1,35093.08,0.8458,0.7746,HIGH
txn_001325,1,14863.95,0.8457,0.6576,MEDIUM
txn_001705,1,3375.74,0.8456,0.6745,MEDIUM
txn_000030,1,27889.05,0.8453,0.7962,HIGH
txn_001996,1,9176.03,0.8451,0.6949,MEDIUM
txn_000715,1,5278.02,0.8451,0.6442,MEDIUM
txn_001478,1,6922.78,0.845,0.5921,MEDIUM
txn_002844,1,8620.88,0.8449,0.7329,MEDIUM
txn_002261,1,27216.9,0.8449,0.6981,MEDIUM
txn_000036,1,31904.89,0.8448,0.7927,HIGH
txn_002202,1,37441.32,0.8448,0.7454,MEDIUM
txn_002237,1,15141.35,0.8448,0.6692,MEDIUM
txn_002900,1,28036.35,0.8446,0.7599,HIGH
txn_001408,1,48432.58,0.8446,0.7858,HIGH
txn_002828,1,18976.79,0.8446,0.6463,MEDIUM
txn_000319,1,17423.77,0.8445,0.7002,MEDIUM
txn_002406,1,7198.83,0.8445,0.7612,HIGH
txn_001506,0,14654.78,0.8441,0.7134,MEDIUM
txn_001342,1,44228.9,0.8438,0.7957,HIGH
txn_001099,1,9497.38,0.8436,0.7374,MEDIUM
txn_000846,0,12235.23,0.8436,0.7415,MEDIUM
txn_001919,1,34549.84,0.8435,0.7826,HIGH
txn_001404,1,38971.38,0.843,0.7545,HIGH
txn_001077,1,18086.8,0.8428,0.6346,MEDIUM
txn_000597,1,42543.32,0.8428,0.7921,HIGH
txn_001395,1,17513.12,0.8427,0.7646,HIGH
txn_000783,1,2191.31,0.8426,0.6101,MEDIUM
txn_002395,1,20764.33,0.8426,0.7515,HIGH
txn_002654,1,11702.56,0.8426,0.7103,MEDIUM
txn_002162,1,25445.3,0.8425,0.7492,MEDIUM
txn_000569,1,32874.34,0.8424,0.755,HIGH
txn_000347,1,49056.03,0.8423,0.7719,HIGH
txn_001609,1,2448.3,0.8423,0.6269,MEDIUM
txn_000867,1,2201.89,0.8422,0.6756,MEDIUM
txn_001468,0,48730.09,0.8416,0.8376,HIGH
txn_000171,1,44824.54,0.8414,0.7861,HIGH
txn_002967,1,14549.7,0.8413,0.6631,MEDIUM
txn_001105,1,13519.28,0.8411,0.7528,HIGH
txn_001554,1,44524.39,0.841,0.7689,HIGH
txn_001587,1,15649.25,0.8409,0.7384,MEDIUM
txn_002646,1,31116.92,0.8407,0.6883,MEDIUM
txn_001905,1,35614.12,0.8407,0.7039,MEDIUM
txn_001605,1,48156.69,0.8405,0.8462,HIGH
txn_002874,1,12547.9,0.8405,0.7414,MEDIUM
txn_001792,1,30776.14,0.8405,0.7881,HIGH
txn_000334,1,4164.33,0.8405,0.681,MEDIUM
txn_001536,1,17866.81,0.8402,0.6552,MEDIUM
txn_001832,0,27107.6,0.8402,0.656,MEDIUM
txn_001985,1,23027.86,0.8401,0.6429,MEDIUM
txn_001212,1,1468.88,0.8396,0.6513,MEDIUM
txn_002939,1,46361.01,0.8396,0.8348,HIGH
txn_000917,1,22341.36,0.8394,0.7913,HIGH
txn_001221,1,6419.19,0.8394,0.656,MEDIUM
txn_001736,1,5225.12,0.8393,0.6747,MEDIUM
txn_000925,1,12460.13,0.8391,0.6591,MEDIUM
txn_000205,1,27179.7,0.8391,0.757,HIGH
txn_001803,0,43763.61,0.8389,0.7169,MEDIUM
txn_001006,1,5672.12,0.8389,0.6481,MEDIUM
txn_002978,0,35185.51,0.8387,0.7582,HIGH
txn_001778,1,17789.72,0.8386,0.6605,MEDIUM
txn_001672,0,30136.86,0.8385,0.7731,HIGH
txn_002696,1,7592.16,0.8384,0.7602,HIGH
txn_002151,1,24713.96,0.8381,0.7058,MEDIUM
txn_002520,1,11701.98,0.8379,0.7118,MEDIUM
txn_000020,1,13687.45,0.8377,0.5968,MEDIUM
txn_000967,1,33053.92,0.8377,0.8255,HIGH
txn_001119,0,36903.89,0.8375,0.8028,HIGH
txn_000491,0,32250.1,0.8375,0.7203,MEDIUM
txn_002650,1,42705.64,0.8368,0.7803,HIGH
txn_001892,1,24867.7,0.8368,0.7556,HIGH
txn_000285,0,20034.37,0.8365,0.7231,MEDIUM
txn_002400,1,34897.65,0.8364,0.6935,MEDIUM
txn_001163,1,23382.63,0.8363,0.7231,MEDIUM
txn_000277,1,6552.99,0.8362,0.6594,MEDIUM
txn_002050,1,34644.83,0.8357,0.774,HIGH
txn_002954,1,42219.92,0.8354,0.7925,HIGH
txn_000630,1,26060.15,0.8353,0.7559,HIGH
txn_001206,1,39278.78,0.8352,0.8382,HIGH
txn_000147,1,36253.86,0.8352,0.712,MEDIUM
txn_001088,1,22894.53,0.8352,0.7309,MEDIUM
