transaction_id,customer_id,transaction_amount,customer_transaction_count,customer_success_rate,payment_method,payment_method_success_rate,channel,preferred_channel,product_interest_score,checkout_progress,customer_email_available,customer_phone_available,scenario,payment_status,failure_reason,revenue_at_risk,recovery_attempts,promise_to_pay,recovered,money_recovered,force_recovery_failure
txn_000035,cust_0734,41602.3,4,0.943,WALLET,0.706,mobile,sms,0.498,0.476,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000036,cust_0759,31904.89,17,0.699,CARD,0.879,payment_link,whatsapp,0.98,0.608,1,1,failed_subscription,failed,bank_decline,1,2,0,1,31904.89,0
txn_000037,cust_0696,29066.57,17,0.723,CARD,0.88,payment_link,whatsapp,0.347,0.209,1,1,payment_failure,failed,timeout,1,3,0,1,29066.57,0
txn_000038,cust_0546,4617.39,3,0.843,UPI,0.749,web,sms,0.279,0.177,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000039,cust_0692,329.23,26,0.811,NETBANKING,0.848,subscription,sms,0.157,0.377,0,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000040,cust_0739,34420.84,24,0.926,UPI,0.718,payment_link,whatsapp,0.148,0.133,0,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000041,cust_0111,29760.9,25,0.694,CARD,0.795,subscription,email,0.12,0.891,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000042,cust_0624,12368.79,22,0.838,UPI,0.798,payment_link,sms,0.9,0.608,1,1,payment_failure,failed,mandate_failed,1,1,0,1,12368.79,0
txn_000043,cust_0326,46482.92,11,0.722,CARD,0.775,payment_link,email,0.171,0.669,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000044,cust_0172,46614.31,4,0.995,CARD,0.923,invoice,whatsapp,0.087,0.506,1,1,mandate_failure,failed,mandate_failed,1,0,0,1,46614.31,0
txn_000045,cust_0376,5513.62,8,0.682,NETBANKING,0.837,invoice,email,0.606,0.794,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000046,cust_0296,9482.97,2,0.662,UPI,0.918,payment_link,whatsapp,0.8,0.825,1,1,mandate_failure,failed,mandate_failed,1,1,0,1,9482.97,0
txn_000047,cust_0500,26686.5,8,0.979,NETBANKING,0.867,invoice,whatsapp,0.355,0.391,1,1,payment_failure,failed,timeout,1,3,0,1,26686.5,0
txn_000048,cust_0228,1869.92,29,0.892,UPI,0.79,mobile,email,0.248,0.744,1,1,failed_subscription,failed,bank_decline,1,2,0,0,0.0,0
txn_000049,cust_0346,28362.32,20,0.911,WALLET,0.924,mobile,whatsapp,0.012,0.598,1,1,payment_failure,failed,bank_decline,1,1,0,1,28362.32,0
txn_000050,cust_0297,35420.48,12,0.857,WALLET,0.864,mobile,sms,0.697,0.922,1,1,mandate_failure,failed,mandate_failed,1,0,0,1,35420.48,0
txn_000051,cust_0575,29645.52,23,0.857,NETBANKING,0.967,invoice,whatsapp,0.87,0.519,0,1,overdue_receivable,overdue,invoice_overdue,1,0,0,1,29645.52,0
txn_000052,cust_0161,12561.68,26,0.729,UPI,0.87,web,whatsapp,0.033,0.913,1,0,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000053,cust_0723,15119.88,11,0.681,CARD,0.95,invoice,email,0.535,0.184,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000054,cust_0264,22149.98,29,0.499,UPI,0.925,mobile,email,0.453,0.524,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000055,cust_0328,33014.41,7,0.639,UPI,0.707,web,sms,0.156,0.716,1,1,overdue_receivable,overdue,invoice_overdue,1,0,0,0,0.0,0
txn_000056,cust_0007,41544.95,15,0.849,NETBANKING,0.771,subscription,sms,0.722,0.856,0,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000057,cust_0500,18280.35,1,0.943,NETBANKING,0.881,subscription,sms,0.336,0.825,1,1,checkout_dropoff,abandoned,customer_abandoned,1,0,0,1,18280.35,0
txn_000058,cust_0727,20246.99,12,0.868,NETBANKING,0.849,web,email,0.742,0.699,1,1,mandate_failure,failed,mandate_failed,1,0,0,1,20246.99,0
txn_000059,cust_0476,13331.45,6,0.616,CARD,0.909,payment_link,email,0.107,0.14,1,1,checkout_dropoff,abandoned,customer_abandoned,1,0,1,1,13331.45,0
txn_000060,cust_0548,36132.34,14,0.777,UPI,0.943,payment_link,email,0.437,0.916,1,1,failed_subscription,failed,bank_decline,1,3,0,1,36132.34,0
txn_000061,cust_0108,17706.7,19,0.772,CARD,0.881,web,sms,0.474,0.344,1,1,payment_failure,failed,insufficient_funds,1,2,0,1,17706.7,0
txn_000062,cust_0466,4517.92,6,0.508,UPI,0.929,payment_link,whatsapp,0.691,0.521,1,1,checkout_dropoff,abandoned,customer_abandoned,1,1,1,1,4517.92,0
txn_000063,cust_0372,45791.32,15,0.791,WALLET,0.968,invoice,whatsapp,0.181,0.568,1,1,payment_failure,failed,bank_decline,1,0,0,1,45791.32,0
txn_000064,cust_0016,17125.77,18,0.878,WALLET,0.735,subscription,whatsapp,0.077,0.696,1,1,failed_subscription,failed,insufficient_funds,1,0,0,1,17125.77,0
txn_000065,cust_0377,2072.32,12,0.696,NETBANKING,0.703,subscription,sms,0.053,0.089,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000066,cust_0187,11833.67,25,0.981,UPI,0.803,web,sms,0.287,0.296,1,0,failed_subscription,failed,timeout,1,3,0,1,11833.67,0
txn_000067,cust_0218,49560.2,29,0.962,WALLET,0.836,payment_link,sms,0.613,0.167,1,1,mandate_failure,failed,mandate_failed,1,1,0,1,49560.2,0
txn_000068,cust_0003,13159.62,26,0.619,UPI,0.85,payment_link,email,0.597,0.525,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000069,cust_0226,6649.84,6,0.817,UPI,0.727,web,whatsapp,0.877,0.266,1,1,failed_subscription,failed,insufficient_funds,1,0,0,1,6649.84,0
txn_000070,cust_0040,24133.21,15,0.889,WALLET,0.722,invoice,whatsapp,0.851,0.495,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000071,cust_0761,34934.08,13,0.616,NETBANKING,0.952,mobile,whatsapp,0.708,0.837,1,1,payment_failure,failed,mandate_failed,1,1,0,0,0.0,0
txn_000072,cust_0700,30922.96,23,0.849,UPI,0.847,web,sms,0.006,0.287,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000073,cust_0524,37734.2,13,0.777,WALLET,0.944,subscription,email,0.392,0.179,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000074,cust_0079,6678.29,10,0.785,CARD,0.982,invoice,whatsapp,0.969,0.75,0,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000075,cust_0303,38686.57,11,0.938,NETBANKING,0.94,subscription,email,0.298,0.84,0,1,failed_subscription,failed,bank_decline,1,3,1,1,38686.57,0
txn_000076,cust_0584,1750.48,27,0.707,CARD,0.959,web,email,0.23,0.213,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000077,cust_0734,45609.43,25,0.823,WALLET,0.705,mobile,whatsapp,0.797,0.294,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000078,cust_0320,39918.44,17,0.818,WALLET,0.719,payment_link,sms,0.582,0.269,0,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000079,cust_0310,7466.92,15,0.547,CARD,0.963,subscription,sms,0.724,0.749,1,0,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000080,cust_0317,6809.24,20,0.742,CARD,0.71,mobile,email,0.079,0.397,1,1,payment_failure,failed,bank_decline,1,0,1,1,6809.24,0
txn_000081,cust_0515,17104.62,6,0.565,WALLET,0.953,payment_link,whatsapp,0.714,0.802,0,1,checkout_dropoff,abandoned,customer_abandoned,1,1,1,1,17104.62,0
txn_000082,cust_0723,43617.27,28,0.93,CARD,0.795,invoice,whatsapp,0.47,0.744,0,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000083,cust_0516,8874.83,24,0.915,UPI,0.821,invoice,whatsapp,0.204,0.84,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000084,cust_0021,45054.95,20,0.743,CARD,0.91,mobile,whatsapp,0.487,0.873,1,1,checkout_dropoff,abandoned,customer_abandoned,1,0,0,1,45054.95,0
txn_000085,cust_0145,24715.44,3,0.797,CARD,0.982,subscription,sms,0.181,0.854,1,1,checkout_dropoff,abandoned,customer_abandoned,1,1,0,1,24715.44,0
txn_000086,cust_0257,8653.94,25,0.453,NETBANKING,0.832,mobile,sms,0.236,0.073,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000087,cust_0334,39133.16,8,0.941,UPI,0.876,subscription,whatsapp,0.357,0.534,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000088,cust_0797,24098.87,5,0.767,UPI,0.87,payment_link,whatsapp,0.688,0.397,0,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000089,cust_0175,36698.37,24,0.551,WALLET,0.738,mobile,sms,0.144,0.94,0,1,overdue_receivable,overdue,invoice_overdue,1,0,1,1,36698.37,0
txn_000090,cust_0069,46561.25,23,0.826,CARD,0.952,subscription,sms,0.571,0.03,1,1,checkout_dropoff,abandoned,customer_abandoned,1,3,0,0,0.0,0
txn_000091,cust_0279,36974.77,28,0.958,UPI,0.953,subscription,email,0.782,0.567,1,1,payment_failure,failed,timeout,1,1,1,1,36974.77,0
txn_000092,cust_0102,19550.19,11,0.763,UPI,0.806,web,sms,0.396,0.695,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000093,cust_0293,1476.97,3,0.537,UPI,0.95,mobile,sms,0.519,0.479,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000094,cust_0783,44856.37,4,0.783,NETBANKING,0.851,invoice,whatsapp,0.822,0.431,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000095,cust_0644,29130.42,13,0.852,WALLET,0.894,mobile,email,0.93,0.532,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000096,cust_0118,48153.76,11,0.714,NETBANKING,0.731,subscription,email,0.567,0.257,1,1,failed_subscription,failed,insufficient_funds,1,2,0,1,48153.76,0
txn_000097,cust_0439,12931.12,28,0.786,UPI,0.963,subscription,email,0.77,0.557,1,1,payment_failure,failed,bank_decline,1,2,0,1,12931.12,0
txn_000098,cust_0263,27425.53,15,0.746,CARD,0.707,mobile,sms,0.642,0.607,1,1,payment_failure,failed,insufficient_funds,1,2,0,0,0.0,0
txn_000099,cust_0070,29003.67,3,0.69,WALLET,0.737,invoice,email,0.104,0.724,1,1,checkout_dropoff,abandoned,customer_abandoned,1,0,0,1,29003.67,0
txn_000100,cust_0727,26741.3,4,0.734,WALLET,0.857,invoice,email,0.88,0.651,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000101,cust_0012,37790.92,6,0.887,WALLET,0.726,mobile,email,0.962,0.635,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000102,cust_0456,27089.87,12,0.992,NETBANKING,0.744,web,email,0.992,0.927,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000103,cust_0262,4564.61,1,0.924,WALLET,0.788,payment_link,sms,0.263,0.36,1,1,failed_subscription,failed,bank_decline,1,3,1,1,4564.61,0
txn_000104,cust_0466,43923.12,11,0.976,UPI,0.734,payment_link,whatsapp,0.817,0.381,1,0,overdue_receivable,overdue,invoice_overdue,1,1,0,1,43923.12,0
txn_000105,cust_0537,41500.75,18,0.892,WALLET,0.876,subscription,whatsapp,0.139,0.898,1,1,mandate_failure,failed,mandate_failed,1,1,0,1,41500.75,0
txn_000106,cust_0287,216.56,13,0.839,CARD,0.954,payment_link,email,0.278,0.851,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000107,cust_0400,7284.02,19,0.853,NETBANKING,0.902,web,email,0.984,0.239,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000108,cust_0519,6709.38,4,0.827,UPI,0.881,subscription,whatsapp,0.527,0.426,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000109,cust_0173,29190.98,22,0.653,CARD,0.739,mobile,whatsapp,0.419,0.79,1,1,payment_failure,failed,bank_decline,1,0,0,1,29190.98,0
txn_000110,cust_0422,12325.2,17,0.98,NETBANKING,0.743,mobile,whatsapp,0.127,0.865,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000111,cust_0726,39102.29,10,0.805,UPI,0.781,subscription,whatsapp,0.93,0.253,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000112,cust_0232,4422.64,15,0.598,WALLET,0.849,payment_link,sms,0.68,0.042,0,0,checkout_dropoff,abandoned,customer_abandoned,1,0,0,1,4422.64,0
txn_000113,cust_0329,1243.06,14,0.88,UPI,0.891,subscription,sms,0.764,0.265,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000114,cust_0693,39975.97,18,0.936,UPI,0.854,subscription,whatsapp,0.042,0.968,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000115,cust_0288,27594.58,16,0.874,WALLET,0.874,mobile,sms,0.095,0.376,1,1,overdue_receivable,overdue,invoice_overdue,1,3,0,0,0.0,0
txn_000116,cust_0781,11208.96,17,0.741,UPI,0.775,subscription,whatsapp,0.544,0.636,1,1,payment_failure,failed,insufficient_funds,1,0,0,0,0.0,0
txn_000117,cust_0367,15017.91,29,0.918,CARD,0.857,payment_link,whatsapp,0.59,0.508,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000118,cust_0066,44014.86,5,0.847,UPI,0.956,mobile,whatsapp,0.278,0.194,1,1,overdue_receivable,overdue,invoice_overdue,1,2,0,0,0.0,0
txn_000119,cust_0211,18523.45,13,0.671,WALLET,0.916,payment_link,whatsapp,0.202,0.958,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000120,cust_0526,360.27,4,0.677,CARD,0.814,subscription,sms,0.413,0.696,1,1,mandate_failure,failed,mandate_failed,1,0,0,0,0.0,0
txn_000121,cust_0704,16240.98,5,0.637,CARD,0.874,payment_link,email,0.602,0.023,1,1,checkout_dropoff,abandoned,customer_abandoned,1,0,0,0,0.0,0
txn_000122,cust_0075,36734.07,13,0.94,WALLET,0.718,invoice,sms,0.801,0.767,1,1,payment_failure,failed,timeout,1,2,1,1,36734.07,0
txn_000123,cust_0581,34944.0,26,0.763,UPI,0.903,payment_link,sms,0.586,0.586,1,0,checkout_dropoff,abandoned,customer_abandoned,1,1,0,0,0.0,0
txn_000124,cust_0548,21955.16,5,0.645,CARD,0.723,web,email,0.728,0.496,0,1,failed_subscription,failed,insufficient_funds,1,3,0,0,0.0,0
txn_000125,cust_0228,21558.57,24,0.914,WALLET,0.928,web,sms,0.975,0.371,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000126,cust_0666,33256.73,20,0.964,NETBANKING,0.801,subscription,whatsapp,0.9,0.022,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000127,cust_0327,9314.17,14,0.943,NETBANKING,0.79,web,email,0.947,0.967,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000128,cust_0637,21545.8,1,0.877,UPI,0.878,invoice,email,0.226,0.847,1,1,checkout_dropoff,abandoned,customer_abandoned,1,3,0,1,21545.8,0
txn_000129,cust_0726,43632.36,12,0.658,WALLET,0.93,mobile,whatsapp,0.497,0.34,1,1,checkout_dropoff,abandoned,customer_abandoned,1,3,1,1,43632.36,0
txn_000130,cust_0601,14265.06,14,0.788,NETBANKING,0.86,mobile,whatsapp,0.094,0.344,0,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000131,cust_0386,9952.87,11,0.969,WALLET,0.78,mobile,email,0.312,0.643,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000132,cust_0016,22128.11,3,0.521,WALLET,0.959,payment_link,sms,0.654,0.152,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000133,cust_0701,34405.68,13,0.693,CARD,0.984,payment_link,sms,0.656,0.13,0,1,mandate_failure,failed,mandate_failed,1,1,1,1,34405.68,0
txn_000134,cust_0760,12865.23,9,0.701,NETBANKING,0.961,payment_link,email,0.652,0.314,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000135,cust_0289,36955.84,1,0.878,CARD,0.878,subscription,whatsapp,0.436,0.577,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000136,cust_0227,34768.7,16,0.88,UPI,0.943,web,whatsapp,0.279,0.643,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000137,cust_0507,8620.24,21,0.767,CARD,0.889,mobile,email,0.874,0.0,1,1,failed_subscription,failed,bank_decline,1,1,1,1,8620.24,0
txn_000138,cust_0787,48147.96,25,0.813,NETBANKING,0.919,web,whatsapp,0.805,0.018,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000139,cust_0255,2597.51,14,0.952,UPI,0.786,subscription,email,0.3,0.743,1,1,overdue_receivable,overdue,invoice_overdue,1,2,0,0,0.0,0
txn_000140,cust_0324,41602.4,29,0.898,CARD,0.948,payment_link,sms,0.521,0.064,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000141,cust_0132,17172.62,2,0.593,WALLET,0.964,subscription,sms,0.464,0.138,1,1,overdue_receivable,overdue,invoice_overdue,1,0,1,1,17172.62,0
txn_000142,cust_0362,13594.16,28,0.929,CARD,0.779,web,email,0.473,0.984,1,1,checkout_dropoff,abandoned,customer_abandoned,1,3,0,1,13594.16,0
txn_000143,cust_0382,581.67,29,0.726,WALLET,0.76,payment_link,sms,0.517,0.006,1,1,mandate_failure,failed,mandate_failed,1,1,0,1,581.67,0
txn_000144,cust_0168,2433.71,24,0.954,NETBANKING,0.867,payment_link,sms,0.03,0.675,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000145,cust_0727,277.94,12,0.938,UPI,0.939,payment_link,email,0.955,0.821,0,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000146,cust_0770,45036.0,20,0.884,CARD,0.727,subscription,email,0.596,0.55,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000147,cust_0268,36253.86,9,0.733,NETBANKING,0.965,payment_link,sms,0.613,0.874,1,0,checkout_dropoff,abandoned,customer_abandoned,1,3,1,1,36253.86,0
txn_000148,cust_0073,42311.1,1,0.782,NETBANKING,0.8,payment_link,email,0.729,0.652,1,0,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000149,cust_0679,29193.5,26,0.873,WALLET,0.966,mobile,whatsapp,0.431,0.319,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000150,cust_0204,39627.67,28,0.866,WALLET,0.81,payment_link,sms,0.007,0.386,0,1,payment_failure,failed,bank_decline,1,3,0,0,0.0,0
txn_000151,cust_0549,8169.24,4,0.793,CARD,0.711,mobile,email,0.031,0.388,1,1,payment_failure,failed,bank_decline,1,0,0,0,0.0,0
txn_000152,cust_0343,19398.49,5,0.829,UPI,0.784,subscription,sms,0.961,0.389,1,1,mandate_failure,failed,mandate_failed,1,1,0,1,19398.49,0
txn_000153,cust_0111,17494.4,10,0.907,NETBANKING,0.778,subscription,whatsapp,0.966,0.558,0,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000154,cust_0661,35602.06,4,0.725,UPI,0.912,payment_link,whatsapp,0.148,0.853,1,1,failed_subscription,failed,timeout,1,2,1,1,35602.06,0
txn_000155,cust_0407,4864.89,7,0.939,WALLET,0.981,subscription,email,0.949,0.513,1,1,checkout_dropoff,abandoned,customer_abandoned,1,0,0,1,4864.89,0
txn_000156,cust_0116,28761.74,11,0.715,NETBANKING,0.818,invoice,whatsapp,0.828,0.765,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000157,cust_0126,46477.02,17,0.789,CARD,0.764,payment_link,whatsapp,0.734,0.763,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000158,cust_0188,4672.65,12,0.934,NETBANKING,0.987,payment_link,sms,0.201,0.995,1,1,checkout_dropoff,abandoned,customer_abandoned,1,0,1,1,4672.65,0
txn_000159,cust_0358,15445.64,1,0.873,CARD,0.781,payment_link,email,0.687,0.024,1,1,checkout_dropoff,abandoned,customer_abandoned,1,0,0,1,15445.64,0
txn_000160,cust_0027,11772.74,8,0.88,CARD,0.721,payment_link,whatsapp,0.403,0.295,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000161,cust_0660,9554.57,7,0.784,UPI,0.762,mobile,email,0.416,0.76,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000162,cust_0241,13716.19,14,0.846,CARD,0.851,mobile,email,0.143,0.775,1,1,checkout_dropoff,abandoned,customer_abandoned,1,0,0,1,13716.19,0
txn_000163,cust_0612,15950.25,26,0.625,WALLET,0.701,payment_link,sms,0.247,0.741,1,1,payment_failure,failed,timeout,1,3,0,0,0.0,0
txn_000164,cust_0101,46522.51,19,0.856,UPI,0.734,web,whatsapp,0.042,0.565,0,1,overdue_receivable,overdue,invoice_overdue,1,0,0,0,0.0,0
txn_000165,cust_0455,18130.51,12,0.817,WALLET,0.927,subscription,sms,0.644,0.048,1,1,mandate_failure,failed,mandate_failed,1,2,0,1,18130.51,0
txn_000166,cust_0149,33955.1,18,0.63,CARD,0.837,invoice,sms,0.88,0.216,1,1,failed_subscription,failed,timeout,1,2,0,1,33955.1,0
txn_000167,cust_0138,5173.37,22,0.826,UPI,0.939,mobile,email,0.782,0.544,1,1,checkout_dropoff,abandoned,customer_abandoned,1,0,0,1,5173.37,0
txn_000168,cust_0795,38162.99,3,0.57,NETBANKING,0.955,subscription,whatsapp,0.042,0.398,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
txn_000169,cust_0307,11318.52,10,0.879,WALLET,0.796,web,email,0.342,0.739,1,1,payment_failure,failed,mandate_failed,1,2,1,1,11318.52,0
txn_000170,cust_0218,12480.86,11,0.958,NETBANKING,0.788,subscription,sms,0.066,0.228,1,1,clean_payment,captured,none,0,0,0,1,0.0,0
